types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/WikicatMusicalInstruments,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
http://dbpedia.org/class/yago/WikicatFrictionMusicalInstruments,http://dbpedia.org/resource/Glass_harmonica,armonica,182,8,0.9999998464511226,0.0,0,20,== Published works == | === Compositions ===
