types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/WikicatBroadcastingOccupations,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/WikicatMediaOccupations,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
http://dbpedia.org/class/yago/WikicatEntertainmentOccupations,http://dbpedia.org/resource/Showrunner,show-runners,2313,56,0.999999999444924,0.0,2,20,== Accolades == | === Honors ===
