types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Skink,Skink,5096,26,0.98513005071281,0.0149004660890836,1,42,== Discography == | === Releases ===
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/Skink,Skink,5096,26,0.98513005071281,0.0149004660890836,1,42,== Discography == | === Releases ===
http://dbpedia.org/ontology/Reptile,http://dbpedia.org/resource/Skink,Skink,5096,26,0.98513005071281,0.0149004660890836,1,42,== Discography == | === Releases ===
http://dbpedia.org/ontology/MeanOfTransportation,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/WikicatDisabilitySportClassifications,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Categorization101012712,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/Grouping101012360,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/T51_(classification),F51,45,34,0.8302404420448006,0.1758454106280215,1,44,== Discography == | === Releases ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Syon_Abbey,Syon,139,52,0.8237958662045879,0.2138928422966109,1,49,== Discography == | === Releases ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Syon_Abbey,Syon,139,52,0.8237958662045879,0.2138928422966109,1,49,== Discography == | === Releases ===
