URI,response,type
http://dbpedia.org/resource/Edward_Elgar,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Edward_Elgar,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Edward_Elgar,False,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Edward_Elgar,False,dct:subject dbc:Concert_band_instruments
http://dbpedia.org/resource/Edward_Elgar,False,dct:subject dbc:Occupations_in_music
http://dbpedia.org/resource/Composer,True,http://dbpedia.org/ontology/PersonFunction
http://dbpedia.org/resource/Organist,True,http://dbpedia.org/ontology/PersonFunction
http://dbpedia.org/resource/Luigi_Cherubini,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Luigi_Cherubini,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Luigi_Cherubini,False,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Luigi_Cherubini,False,dct:subject dbc:Concert_band_instruments
http://dbpedia.org/resource/Luigi_Cherubini,False,dct:subject dbc:Occupations_in_music
http://dbpedia.org/resource/Adolf_Pollitzer,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Adolf_Pollitzer,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Adolf_Pollitzer,False,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Adolf_Pollitzer,False,dct:subject dbc:Concert_band_instruments
http://dbpedia.org/resource/Adolf_Pollitzer,False,dct:subject dbc:Occupations_in_music
http://dbpedia.org/resource/Hubert_Parry,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Hubert_Parry,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Hubert_Parry,False,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Hubert_Parry,False,dct:subject dbc:Concert_band_instruments
http://dbpedia.org/resource/Hubert_Parry,False,dct:subject dbc:Occupations_in_music
http://dbpedia.org/resource/Solicitor,True,http://dbpedia.org/ontology/PersonFunction
http://dbpedia.org/resource/Conducting,True,http://dbpedia.org/ontology/PersonFunction
http://dbpedia.org/resource/Piccolo,True,http://dbpedia.org/ontology/PersonFunction
http://dbpedia.org/resource/Western_concert_flute,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Western_concert_flute,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Western_concert_flute,True,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Bassoon,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Bassoon,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Bassoon,True,dct:subject dbc:Orchestral_instruments
http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart,False,dct:subject dbc:Musical_terminology
http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart,False,dct:subject dbc:Idioms
http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart,False,dct:subject dbc:Orchestral_instruments
