types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/WikicatShockJocks,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Athlete109820263,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Shock_jock,Shock jock,186,0,1.0,0.0,1,17,== Music career == | === 1999–2000: Enrique ===
