types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Zone_defense_in_American_football,Cover 2,58,83,0.9999999999997726,0.0,0,12,== Biography == | === Solo career ===
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/WikicatCharityAlbums,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://dbpedia.org/class/yago/Wikicat2005CompilationAlbums,http://dbpedia.org/resource/The_Tsunami_Projekt,The Tsunami Projekt,2,83,1.0,0.0,3,15,== Biography == | === Guest appearances ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Ayalon_Valley,Ajalon,84,66,0.99999997756197,0.0,0,16,== Biography == | === Guest appearances ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Salem_Hill_(band),Salem Hill,4,131,0.9999964299676724,0.0,0,16,== Biography == | === Guest appearances ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Salem_Hill_(band),Salem Hill,4,131,0.9999964299676724,0.0,0,16,== Biography == | === Guest appearances ===
