types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Writing100614224,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Cryptography100614489,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Encoding100615887,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/WikicatEncodings,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
http://dbpedia.org/class/yago/WikicatFilmTechniques,http://dbpedia.org/resource/Timecode,time code,265,205,0.7993871609127702,0.25095829517473,1,19,== Career == | === 2015–17: Kindred ===
