types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/WikicatDefunctDigitalMusicServicesOrCompanies,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/WikicatRussianMedia,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/AllOfMP3,Allofmp3,21,0,1.0,0.0,4,7,== Career == | === Amazon.com ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Right-of-way_(transportation),ROW,2104,165,0.7544108905419268,0.3249508822006963,6,10,== Career == | === X5 Music Group ===
http://dbpedia.org/ontology/River,http://dbpedia.org/resource/Right-of-way_(transportation),ROW,2104,165,0.7544108905419268,0.3249508822006963,6,10,== Career == | === X5 Music Group ===
