types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Conflagration107303697,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Fire107302836,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Forest108438533,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/WikicatFiresInAustralia,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/WikicatForestsOfVictoria(Australia),http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/WikicatNaturalDisastersInAustralia,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Vegetation108436759,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Wikicat2009Crimes,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Wikicat2009NaturalDisasters,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
http://dbpedia.org/class/yago/Wikicat2009Wildfires,http://dbpedia.org/resource/Black_Saturday_bushfires,Victorian Bushfire Crisis,380,141,1.0,0.0,0,6,== Career == | === Live shows ===
