types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Line107012534,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/Heading106343971,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/ontology/ComicsCharacter,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://umbel.org/umbel/rc/CartoonCharacter,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://umbel.org/umbel/rc/FictionalCharacter,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/WikicatCharactersCreatedByBobKane,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
http://dbpedia.org/class/yago/WikicatCharactersCreatedByGeoffJohns,http://dbpedia.org/resource/Batwoman,Agent Zero,894,13,0.5768120397715528,0.733665859221693,2,61,== Discography == | === Appears on ===
