types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Horology,horology,395,183,1.0,0.0,2,50,== Other ventures == | === Watch collector ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Horology,horology,395,183,1.0,0.0,2,50,== Other ventures == | === Watch collector ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Horology,horology,395,183,1.0,0.0,2,50,== Other ventures == | === Watch collector ===
