types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Electric_guitar,E-guitar,17436,98,1.0,0.0,0,44,== Musical works == | === Chamber Music ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Electric_guitar,E-guitar,17436,98,1.0,0.0,0,44,== Musical works == | === Chamber Music ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Electric_guitar,E-guitar,17436,98,1.0,0.0,0,44,== Musical works == | === Chamber Music ===
