types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatPeopleFromKotor,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatYugoslavMusicians,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatMontenegrinMaleSingers,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatMontenegrinMusicians,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatMontenegrinSingers,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatSerbianFemaleSingers,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatSerbianMusicians,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/WikicatSingers,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
http://dbpedia.org/class/yago/JazzMusician110220486,http://dbpedia.org/resource/Rambo_Amadeus,Rambo Amadeus,139,49,1.0,0.0,7,6,== History == | === 1990s ===
