types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Fraternity108229467,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1901,http://dbpedia.org/resource/Sigma_Phi_Epsilon,Sigma Phi Epsilon,330,106,1.0,0.0,1,7,== Career == | === Academia ===
