types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/WikicatKhoisanLanguages,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/WikicatLanguagesOfBotswana,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/WikicatLanguagesOfSouthAfrica,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Class107997703,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/WikicatEndangeredLanguages,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
http://dbpedia.org/class/yago/WikicatTuuLanguages,http://dbpedia.org/resource/Tuu_languages,Tuu,62,0,0.9999998480081844,0.0,0,15,== Discography == | ==== EPs ====
