types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/In-joke106779511,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Joke106778102,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatIn-jokes,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatUnitsOfMeasurement,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/UnitOfMeasurement113583724,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/WikicatRunningGags,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
http://dbpedia.org/class/yago/Wit106776138,http://dbpedia.org/resource/Potrzebie,Potrzebie,28,98,1.0,0.0,4,39,== Personal life == | === Humor ===
