types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Mineral,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/WikicatVolcanoes,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/AmorphousShape113867492,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Crack109258715,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Opening109379111,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Space113910384,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Vent109470550,http://dbpedia.org/resource/Volcanic_sublimate,sublimate,33,90,0.937660566444846,0.0654586996424273,3,71,== Personal life == | === Sexuality ===
