types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/WikicatAmericanBoxers,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/WikicatBoxersFromMississippi,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Boxer,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://schema.org/Person,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Boxer109870208,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Combatant109939313,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/WikicatHeavyweightBoxers,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Sonny_Banks,Sonny Banks,12,30,1.0,0.0,5,10,== Early professional boxing career == | === Early career ===
