types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/WikicatFemaleStockCharactersInAnimeAndManga,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
http://dbpedia.org/class/yago/WikicatStockCharacters,http://dbpedia.org/resource/Lolita_(term),Lolita-esque,225,87,0.9956300223793784,0.0,1,13,== Biography == | === The 1970s ===
