types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArtMedia,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/ontology/Surname,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Sound_map,sound map,17,50,0.9999849911333728,0.0,1,17,== Career == | === 2018 ===
