types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Associate109816771,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/CouncilMember109944763,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Member110307234,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Peer109626238,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/ontology/Politician,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/WikicatAlumniOfTheRoyalAgriculturalUniversity,http://dbpedia.org/resource/Timothy_Kitson,Timothy Kitson,10,56,1.0,0.0,2,55,== Personal life == | === Private residence ===
