types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/WikicatAmericanMobstersOfItalianDescent,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/WikicatPeopleMurderedInNewYork,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Wrongdoer109633969,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/WikicatMurderedAmericanMobstersOfItalianDescent,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/BadPerson109831962,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Criminal109977660,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Gangster110120085,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Principal110474950,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Frank_Amato,Frank Amato,4,0,0.9999689105819162,0.0,0,6,== History == | === Constant members ===
