types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/WikicatBBCChildren'sTelevisionProgrammes,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://umbel.org/umbel/rc/TVShow_IBT,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Announcement106746580,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Broadcast106619428,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Andy_Pandy,Andy Pandy,99,351,1.0,0.0,6,6,== Career == | === Comedy ===
