types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatHumanists,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatItalianPhilologists,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatProtestantWriters,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatClassicalPhilologists,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatLatin-languageWriters,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatLinguistsFromFrance,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/WikicatRenaissancePeople,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Academician109759069,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Classicist109926656,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Linguist110264437,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Orientalist110383689,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Philologist110423225,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Specialist110631941,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat16th-centuryDutchPeople,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat16th-centuryFrenchPeople,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat16th-centuryFrenchWriters,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat16th-centuryHistorians,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat16th-centuryLatin-languageWriters,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
http://dbpedia.org/class/yago/Wikicat17th-centuryFrenchWriters,http://dbpedia.org/resource/Joseph_Justus_Scaliger,Joseph Justus Scaliger,173,197,1.0,0.0,4,15,== Works == | === Surviving poetry ===
