types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Anglican_church_music,Anglican church hymns,125,130,1.0,0.0,0,27,== Music and image == | === Musical style ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Anglican_church_music,Anglican church hymns,125,130,1.0,0.0,0,27,== Music and image == | === Musical style ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Anglican_church_music,Anglican church hymns,125,130,1.0,0.0,0,27,== Music and image == | === Musical style ===
