types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/WikicatCommercialCrimes,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/WikicatConfidenceTricks,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Bunco100779248,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Eponym106334985,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Fraud100769092,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Swindle100780148,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/WikicatEponyms,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
http://dbpedia.org/class/yago/WikicatFinancialCrimes,http://dbpedia.org/resource/Ponzi_scheme,ponzi scheme,1144,74,1.0,0.0,11,21,== Other ventures == | === Acting career ===
