types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://umbel.org/umbel/rc/Fish,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/BiologicalGroup107941170,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/FishGenus101432517,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Genus108108972,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/TaxonomicGroup107992450,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFishGenera,http://dbpedia.org/resource/Pollock,Pollock,306,18,0.5757285888650133,0.7369285725412417,1,9,== Discography == | === Albums ===
