types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatJapanese-languageSingers,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatKorean-languageSingers,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatKoreanFemaleSingers,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/WikicatRunningMan(TVSeries)Contestants,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Actress109767700,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Goo_Hara,Goo Hara,115,127,1.0,0.0,3,26,== Other ventures == | === Business ventures ===
