types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatKhatriClans,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://umbel.org/umbel/rc/CommunityOrganization,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatRajputClansOfPunjab,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/EthnicGroup107967382,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Kin107969695,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Matharu,Matharu,3,96,0.7523396668447446,0.0,4,12,== Biography == | === Solo career ===
http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/MilitaryOfficer110317007,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Serviceman110582746,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/SkilledWorker110605985,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Wikicat1StarOfficers,http://dbpedia.org/resource/One-star_rank,one-star,230,83,0.9999998210914658,0.0,8,12,== Biography == | === Solo career ===
