types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Scene108645963,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/Venue108677628,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/class/yago/WikicatSportsVenuesInFingal,http://dbpedia.org/resource/Phoenix_Park_Racecourse,Phoenix Park Racecourse,130,161,1.0,0.0,9,7,== Recording career == | === Perfect Crime ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatRTÉ2fmProgrammes,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/WikicatRTÉRadio1Programmes,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Announcement106746580,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Program106748466,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
http://dbpedia.org/class/yago/Statement106722453,http://dbpedia.org/resource/The_Dave_Fanning_Show,The Dave Fanning Show,16,108,1.0,0.0,5,9,== Recording career == | === Solo career ===
