types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Accessory102671780,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/BaseballEquipment102799897,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/BaseballGlove102800213,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/ontology/InformationAppliance,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/WikicatGloves,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/SportsEquipment104285146,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/WikicatFashionAccessories,http://dbpedia.org/resource/Evening_glove,long black gloves,129,142,1.0,0.0,6,8,== Early life == | === Gap year ===
