types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/WikicatMusicScenes,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
http://dbpedia.org/class/yago/Scene108645963,http://dbpedia.org/resource/Teutonic_thrash_metal,Teutonic thrash metal,27,97,1.0,0.0,0,6,== Biography == | === Kreator (2001-present) ===
