types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatAmericanChildren'sBooks,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Doll103219135,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Plaything103964744,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatFashionDolls,http://dbpedia.org/resource/American_Girl,American Girls,337,24,0.9981750963093724,0.0012544549289415,0,43,== Discography == | === Singles ===
