types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/BasicCognitiveProcess105701944,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Discrimination105748054,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Fad105751173,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Fashion105750657,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Subculture108288753,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Taste105749619,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Vogue105750163,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Wikicat1950sFadsAndTrends,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/Wikicat1960sFadsAndTrends,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
http://dbpedia.org/class/yago/WikicatSubcultures,http://dbpedia.org/resource/Greaser_(subculture),Greasers,237,92,0.9958503689021864,0.0,1,9,== Career == | === Acting ===
