types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanJazzEnsembles,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1972,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsFromVermont,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Ensemble108188235,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Widespread_Depression_Jazz_Orchestra,Widespread Depression Orchestra,11,0,1.0,0.0,0,95,== Discography == | === As sideman ===
