types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://www.wikidata.org/entity/Q24229398,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://www.wikidata.org/entity/Q178885,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatAnimalGoddesses,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/ontology/Deity,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/ontology/MythologicalFigure,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatNatureDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/Goddess109535622,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatGoddesses,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatHealthDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatHinduDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatHinduFolkDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatHinduGoddesses,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatFertilityDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatFertilityGoddesses,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatFortuneDeities,http://dbpedia.org/resource/Manasa,Manasa,256,0,1.0,0.0,1,51,== Filmography == | === 1980s ===
