types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Gesture100334509,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
http://dbpedia.org/class/yago/WikicatGestures,http://dbpedia.org/resource/Mooning,mooning,146,17,0.9999886574871452,0.0,1,7,== Music career == | === Mötley Crüe ===
