types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/WikicatPolish-languagePlays,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/WikicatPolishPlays,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
http://dbpedia.org/class/yago/Wikicat1901Plays,http://dbpedia.org/resource/The_Wedding_(1901_play),Wesele (The Wedding),48,66,1.0,0.0,3,9,== Biography == | === 1970s ===
