types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAres,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/ontology/ComicsCharacter,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatComicsCharactersIntroducedIn1994,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatDCComicsCharacters,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatDCComicsCharactersWhoUseMagic,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatDCComicsDeities,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatWonderWomanCharacters,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Are113613862,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/AreaUnit113600404,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/UnitOfMeasurement113583724,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
http://dbpedia.org/class/yago/WikicatFictionalCharactersFromMassachusetts,http://dbpedia.org/resource/Children_of_Ares,Deimos,48,9,0.7099226424115582,0.3134455198707188,0,8,== Filmography == | === Other Work ===
