types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/WikicatFictionalMotorcycleClubs,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Thunderiders,honcho,45,12,0.6168851121817265,0.5277777777777679,3,24,== Singing and stage career == | ==== Singles ====
