types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Commerce101090446,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/CommercialEnterprise101094725,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Finance101098698,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Investing101099436,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/Transaction101106808,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
http://dbpedia.org/class/yago/WikicatGoldInvestments,http://dbpedia.org/resource/Gold_certificate,gold certificates,156,141,0.999999999983288,0.0,16,6,== Career == | === 2002–06: Rouge ===
