types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MountainPass,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMountainPasses,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMountainPassesOfArgentina,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMountainPassesOfChile,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMountainPassesOfTheAndes,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Uspallata_Pass,Bermejo,25,0,0.999864628225794,0.00013538098099307605,1,16,== Discography == | === As leader ===
