types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatHomeAppliances,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatProjectors,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatComputerPeripherals,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatComputingOutputDevices,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatDisplayDevices,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Appliance102729837,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Durables103257877,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/HomeAppliance103528263,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/OpticalDevice103851341,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/OutputDevice103861048,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Peripheral103916720,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Projector104009801,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
http://dbpedia.org/class/yago/WikicatOpticalDevices,http://dbpedia.org/resource/Video_projector,video projector,389,110,1.0,0.0,0,26,== Life and work == | === Selected works ===
