types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Macromolecule114944888,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Molecule114682133,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/OrganicCompound114727670,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Chemical114806838,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Compound114818238,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatHumanProteins,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Unit109465459,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Protein114728724,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Tissue_inhibitor_of_metalloproteinase,timps,32,63,0.9999995837186773,0.0,0,13,== List of compositions (incomplete) == | === Orchestral ===
