types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanPeople,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/WikicatMusicians,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/WikicatMusiciansFromOklahoma,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://dbpedia.org/class/yago/WikicatFourStarRecordsArtists,http://dbpedia.org/resource/Paul_Westmoreland,Paul Westmoreland,16,67,0.999999999924654,0.0,2,3,== History == | === Formation ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/A_Roman_Scandal,A Roman Scandal,7,110,0.844827585857099,0.1836734693877561,3,8,== History == | === Rise and success (1995–2006) ===
