types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Classical_music,European Classical music,10116,228,1.0,0.0,12,5,== Life and career == | === Early years ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Classical_music,European Classical music,10116,228,1.0,0.0,12,5,== Life and career == | === Early years ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Classical_music,European Classical music,10116,228,1.0,0.0,12,5,== Life and career == | === Early years ===
