types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Osborne_Brothers,The Osborne Brothers,125,94,1.0,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Osborne_Brothers,The Osborne Brothers,125,94,1.0,0.0,5,3,== Biography == | === Early years ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Osborne_Brothers,The Osborne Brothers,125,94,1.0,0.0,5,3,== Biography == | === Early years ===
