types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Non-standardSpeech107155081,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Dialect107155661,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/WikicatLanguagesOfGibraltar,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/WikicatLanguagesOfSpain,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
http://dbpedia.org/class/yago/WikicatDialects,http://dbpedia.org/resource/Andalusian_Spanish,Andalusian Spanish,166,121,1.0,0.0,3,20,== Biography == | === Later works ===
