types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/WikicatRailwayLinesOpenedIn1868,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/WikicatRegionalRailwayLinesInNewSouthWales,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Business108061042,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Carrier108057633,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Enterprise108056231,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Line103671473,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/Railway104048568,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
http://dbpedia.org/class/yago/WikicatStandardGaugeRailwaysInAustralia,http://dbpedia.org/resource/Blue_Mountains_Line,Blue Mountains,111,24,0.5280493798932604,0.369625382230256,1,11,== Career == | === Politics ===
