types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatInternationalNongovernmentalOrganizations,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatPoliticalOrganizations,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatNon-governmentalOrganizations,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatOrganizationsBasedInEurope,http://dbpedia.org/resource/CONCORD,CONCORD,6,1,0.9999027744490642,0.0,1,15,== Discography == | === As sideman ===
