types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/WikicatNationalistOrganizations,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/WikicatGermanicNeopaganOrganisations,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/WikicatNeo-NaziOrganizations,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1993,http://dbpedia.org/resource/Heathen_Front,Heathen Front,24,4,1.0,0.0,3,20,== Biography == | === Imprisonment ===
