types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/WikicatCharactersCreatedByJackKirby,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/WikicatComicsCharactersIntroducedIn1964,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/WikicatComicsCharactersIntroducedIn1977,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://umbel.org/umbel/rc/CartoonCharacter,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://umbel.org/umbel/rc/FictionalCharacter,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/WikicatMarvelComicsCharacters,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/BiologicalGroup107941170,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/Species108110373,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
http://dbpedia.org/class/yago/TaxonomicGroup107992450,http://dbpedia.org/resource/Deviant_(comics),Deviants,269,16,0.9860555196088744,0.0103670349232946,1,33,== Discography == | === Other recordings ===
