types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatAstronomyOrganizations,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1930,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatResearchInstitutesInCalifornia,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Institute108407330,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatGovernmentAgenciesEstablishedIn1930,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatSpaceAgencies,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
http://dbpedia.org/class/yago/WikicatSpaceTechnologyResearchInstitutes,http://dbpedia.org/resource/Jet_Propulsion_Laboratory,Jet Propulsion Laboratory (JPL),2546,31,1.0,0.0,2,38,== Other ventures == | === Technology ===
