types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/WikicatAustralianSubscriptionTelevisionServices,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/WikicatAustralianTelevisionNetworks,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Network108434259,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/Service100577525,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
http://dbpedia.org/class/yago/System108435388,http://dbpedia.org/resource/Subscription_television_in_Australia,Australian Subscription Television,183,4,1.0,0.0,0,32,== Awards == | === ASTRA Awards ===
