types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnalogComputers,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatColdWarWeaponsOfTheUnitedStates,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatEarlyComputers,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatWorldWarIIWeapons,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatWorldWarIIWeaponsOfTheUnitedStates,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatMilitaryComputers,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/AnalogComputer102708224,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Bombsight102868870,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Computer103082979,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Machine103699975,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/OpticalInstrument103852280,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Sights104216963,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatOpticalBombsights,http://dbpedia.org/resource/Norden_bombsight,Norden bombsight,180,29,1.0,0.0,6,13,== Biography == | === Later years ===
