types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/WikicatLegendaryCreatures,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/WikicatSlavicDemons,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Apparition105897553,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Appearance105939432,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Devil109542339,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/EvilSpirit109541919,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Ghost105898171,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Illusion105939636,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Representation105926676,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Spirit109545324,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/Superstition105952678,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
http://dbpedia.org/class/yago/WikicatGhosts,http://dbpedia.org/resource/Will-o'-the-wisp,Will O' The Wisp,158,139,0.999957533808704,3.91464755991497e-05,1,26,== Musical career == | === Black Ribbons ===
