types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Johnny_Bassett,John Bassett,6,80,0.911317542515492,0.0966032770515234,0,68,== Discography == | === Jazz discography ===
