types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/BuildingMaterial114786479,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/ontology/Ship,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/ontology/RaceHorse,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/WikicatBuildingMaterials,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/Roof104105068,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/ProtectiveCovering104014297,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
http://dbpedia.org/class/yago/WikicatRoofs,http://dbpedia.org/resource/Thatching,thatched,1140,162,1.0,0.0,13,22,== Music == | === Light orchestral ===
