types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatPolishTelevisionProgrammes,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatPolishTraditions,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatConcerts,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatVisitorAttractionsInPomeranianVoivodeship,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatMusicCompetitions,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatMusicFestivals,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInPoland,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1961,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/WikicatSingingCompetitions,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Announcement106746580,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Attraction106615561,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Concert106892775,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Sopot_International_Song_Festival,Sopot International Song Festival,173,39,1.0,0.0,9,3,== Life and career == | === Beginnings ===
