types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatApplicationLayerProtocols,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatIndustry-specificXML-basedStandards,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatDataInterchangeStandards,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatMarketData,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Datum105816622,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Direction106786629,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Information105816287,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Market101097292,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Protocol106665108,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Rule106652242,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatFinancialMarkets,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatNetworkProtocols,http://dbpedia.org/resource/Financial_Information_eXchange,SBE,39,14,0.5797548621411815,0.4855971951559343,0,56,== Discography == | === As sideman ===
