types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/WikicatMaleFeminists,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/WikicatMenAndFeminism,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Disputant109615465,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Feminist110084635,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Male109624168,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Man110287213,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pro-feminism,pro-feminist,67,12,0.9999999774225048,0.0,5,7,== Career == | === Solo ===
