types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/WikicatPoetryMovements,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/WikicatLiteraryCircles,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/WikicatLiteraryMovements,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Circle113873502,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/ConicSection113872975,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Ellipse113878306,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Figure113862780,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/PlaneFigure113863186,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
http://dbpedia.org/class/yago/Shape100027807,http://dbpedia.org/resource/Confessional_poetry,confessional poet,104,32,1.0,0.0,8,15,== Work == | === Form ===
