types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/WikicatInterpersonalRelationships,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/WikicatPhilosophicalConcepts,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
http://dbpedia.org/class/yago/Relationship113780719,http://dbpedia.org/resource/Platonic_love,platonic affair,394,40,1.0,0.0,2,8,== Personal life == | === Notable relationships ===
