types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wig,powdered wig,559,71,1.0,0.0,5,10,== Life and career == | === With Printemps ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Wig,powdered wig,559,71,1.0,0.0,5,10,== Life and career == | === With Printemps ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Wig,powdered wig,559,71,1.0,0.0,5,10,== Life and career == | === With Printemps ===
